Threshold,Accuracy,Sensitivity,Diff
0.01,0.7322905027932961,0.23604874919820398,0.49624175359509215
0.03538461538461538,0.9027932960893855,0.461038961038961,0.4417543350504245
0.06076923076923077,0.9439106145251397,0.6068965517241379,0.33701406280100177
0.08615384615384615,0.9582122905027933,0.6857707509881423,0.272441539514651
0.11153846153846153,0.965586592178771,0.7356076759061834,0.2299789162725876
0.13692307692307693,0.9702793296089386,0.7713004484304933,0.1989788811784453
0.16230769230769232,0.9731843575418995,0.7972027972027972,0.17598156033910228
0.18769230769230769,0.9749720670391061,0.8138424821002387,0.16112958493886742
0.21307692307692308,0.9763128491620112,0.8256658595641646,0.15064698959784661
0.23846153846153847,0.9772067039106145,0.8353808353808354,0.14182586852977908
0.26384615384615384,0.9789944134078212,0.8521303258145363,0.12686408759328494
0.28923076923076924,0.9798882681564246,0.8644501278772379,0.11543814027918675
0.31461538461538463,0.980782122905028,0.8753246753246753,0.10545744758035269
0.34,0.9812290502793296,0.8798955613577023,0.1013334889216273
0.36538461538461536,0.982122905027933,0.8933333333333333,0.08878957169459967
0.39076923076923076,0.9825698324022346,0.9002695417789758,0.08230029062325883
0.41615384615384615,0.9832402234636871,0.907608695652174,0.07563152781151317
0.44153846153846155,0.9836871508379889,0.9148351648351648,0.06885198600282405
0.46692307692307694,0.9839106145251396,0.9196675900277008,0.0642430244974388
0.4923076923076923,0.9839106145251396,0.9196675900277008,0.0642430244974388
0.5176923076923077,0.9841340782122905,0.9269662921348315,0.05716778607745898
0.5430769230769231,0.9839106145251396,0.9316239316239316,0.05228668290120797
0.5684615384615385,0.9832402234636871,0.9310344827586207,0.05220574070506645
0.5938461538461538,0.9832402234636871,0.9335260115606936,0.04971421190299352
0.6192307692307693,0.9832402234636871,0.9411764705882353,0.04206375287545183
0.6446153846153846,0.9827932960893855,0.9408284023668639,0.041964893722521546
0.67,0.9825698324022346,0.9406528189910979,0.04191701341113674
0.6953846153846154,0.9825698324022346,0.9459459459459459,0.03662388645628867
0.7207692307692307,0.982122905027933,0.9483282674772037,0.03379463755072931
0.7461538461538462,0.9816759776536312,0.9507692307692308,0.030906746884400427
0.7715384615384615,0.9823463687150839,0.9625,0.01984636871508383
0.796923076923077,0.982122905027933,0.9682539682539683,0.013868936773964724
0.8223076923076923,0.9810055865921787,0.9707792207792207,0.010226365812957994
0.8476923076923076,0.9787709497206704,0.9697986577181208,0.008972292002549564
0.8730769230769231,0.9774301675977654,0.9790209790209791,-0.0015908114232137116
0.8984615384615384,0.9760893854748603,0.9785714285714285,-0.0024820430965681872
0.9238461538461539,0.9729608938547486,0.9774436090225563,-0.004482715167807738
0.9492307692307692,0.9696089385474861,0.9838056680161943,-0.014196729468708202
0.9746153846153846,0.965586592178771,0.9911111111111112,-0.0255245189323402
1.0,0.9465921787709497,1.0,-0.0534078212290503
