Threshold,Accuracy,Sensitivity,Diff
0.05,0.9269273743016759,0.536697247706422,0.3902301265952539
0.1,0.968268156424581,0.756043956043956,0.21222420038062495
0.15,0.9763128491620112,0.8272506082725061,0.14906224088950515
0.2,0.980782122905028,0.8733850129198967,0.1073971099851313
0.25,0.9812290502793296,0.8818897637795275,0.09933928649980206
0.3,0.9827932960893855,0.904891304347826,0.07790199174155943
0.35,0.9827932960893855,0.9116022099447514,0.0711910861446341
0.4,0.9823463687150839,0.9134078212290503,0.06893854748603356
0.45,0.9823463687150839,0.9180790960451978,0.06426727266988608
0.5,0.9812290502793296,0.9169054441260746,0.06432360615325505
0.55,0.9810055865921787,0.9166666666666666,0.0643389199255121
0.6,0.9814525139664805,0.9244186046511628,0.05703390931531771
0.65,0.9810055865921787,0.9341317365269461,0.04687385006523259
0.7,0.9801117318435755,0.9386503067484663,0.041461425095109194
0.75,0.9787709497206704,0.9430379746835443,0.035732975037126025
0.8,0.9769832402234637,0.9444444444444444,0.0325387957790193
0.85,0.9758659217877095,0.9494949494949495,0.026370972292759975
0.9,0.9747486033519553,0.9678571428571429,0.006891460494812485
0.95,0.9700558659217877,0.9725490196078431,-0.002493153686055405
